seq1|EC=1.1	iCHOv1.100770100	79.9	323	65	0	1	323	1	323	1.10e-195	539
seq1|EC=1.1	iMM1415.83702	78.3	323	70	0	1	323	1	323	1.05e-193	534
seq1|EC=1.1	iMM1415.77337	74.6	323	82	0	1	323	1	323	4.56e-181	502
seq40|EC=1.1.1.113	iMM904.YJR159W	53.3	368	147	6	4	362	6	357	1.34e-119	349
seq50|EC=1.1.1.116	iYO844.BSU39780	33.1	133	70	6	38	161	38	160	3.06e-10	60.1
seq55|EC=1.1.1.117	iMM904.YBR149W	100	344	0	0	1	344	1	344	1.29e-257	697
seq60|EC=1.1.1.122	iEK1008.Rv1350	36.9	244	142	5	10	248	8	244	3.87e-38	134
seq60|EC=1.1.1.122	iYO844.BSU03930	37.8	249	140	9	9	248	7	249	9.04e-36	128
seq60|EC=1.1.1.122	iLJ478.TM1724	34.1	252	147	8	6	248	2	243	6.76e-35	125
seq71|EC=1.1.1.125	iCN900.CD630_25770	32.8	244	159	4	7	250	4	242	1.81e-37	131
seq71|EC=1.1.1.125	iYS854.USA300HOU_RS06185	33.3	246	159	4	7	252	3	243	1.76e-37	131
seq71|EC=1.1.1.125	iIT341.HP0561	34.1	249	159	5	4	252	3	246	1.14e-35	127
seq71|EC=1.1.1.125	iLJ478.TM1724	35.9	248	153	5	4	251	3	244	4.35e-35	125
seq71|EC=1.1.1.125	iYO844.BSU15910	32.2	245	161	4	7	251	5	244	1.21e-34	124
seq71|EC=1.1.1.125	iHN637.CLJU_RS20765	34.0	253	153	6	4	251	3	246	3.52e-34	123
seq71|EC=1.1.1.125	iAF987.Gmet_1694	33.1	248	160	5	4	251	3	244	6.46e-34	122
seq71|EC=1.1.1.125	iSynCJ816.SGL_RS07245	32.5	252	161	5	1	251	1	244	1.34e-33	121
seq71|EC=1.1.1.125	iNF517.LLMG_RS08950	34.4	250	145	8	7	251	6	241	6.64e-33	119
seq71|EC=1.1.1.125	iAF987.Gmet_1601	33.1	254	156	6	3	252	2	245	1.98e-32	118
seq71|EC=1.1.1.125	iYL1228.KPN_01869	36.1	255	146	5	7	250	6	254	2.56e-32	118
seq76|EC=1.1.1.13	iYL1228.KPN_02543	59.4	456	177	3	14	469	3	450	6.80e-186	526
seq81|EC=1.1.1.130	iML1515.b3575	100	332	0	0	1	332	1	332	3.94e-246	667
seq81|EC=1.1.1.130	iSF_1195.SF3619	99.7	332	1	0	1	332	1	332	1.13e-245	666
seq81|EC=1.1.1.130	iSbBS512_1146.SbBS512_E3947	99.7	329	1	0	1	329	1	329	1.38e-243	661
seq81|EC=1.1.1.130	STM_v1_0.STM3668	89.5	332	35	0	1	332	1	332	3.51e-224	612
seq88|EC=1.1.1.131	iML1515.b1619	29.6	267	158	4	3	268	12	249	1.73e-30	114
seq88|EC=1.1.1.131	iSynCJ816.SGL_RS07245	30.0	273	158	5	2	272	6	247	1.59e-28	108
seq88|EC=1.1.1.131	iYS854.USA300HOU_RS06185	29.0	269	162	6	1	268	1	241	7.97e-28	107
seq88|EC=1.1.1.131	iML1515.b4266	27.2	268	165	4	3	268	10	249	1.38e-27	106
seq88|EC=1.1.1.131	iSSON_1240.SSON_4451	27.2	268	165	4	3	268	10	249	1.38e-27	106
seq88|EC=1.1.1.131	STM_v1_0.STM4483	28.0	268	163	4	3	268	10	249	2.70e-27	105
seq93|EC=1.1.1.135	iJN1463.PP_1800	36.4	272	161	3	2	264	7	275	8.45e-48	161
seq101|EC=1.1.1.137	iYS854.USA300HOU_RS01330	81.4	339	63	0	10	348	1	339	4.05e-207	570
seq108|EC=1.1.1.138	iEK1008.Rv1928c	41.1	253	142	6	13	263	5	252	1.13e-48	161
seq113|EC=1.1.1.15	iEK1008.Rv1928c	33.1	266	156	7	8	270	7	253	4.18e-36	129
seq124|EC=1.1.1.156	iMM904.YOR120W	41.9	310	155	9	2	303	8	300	1.13e-71	224
seq124|EC=1.1.1.156	iMM904.YDR368W	42.8	313	155	9	2	306	8	304	2.25e-71	223
seq124|EC=1.1.1.156	iAT_PLT_636.10327	38.7	305	179	4	1	303	1	299	4.68e-71	223
seq124|EC=1.1.1.156	iCHOv1.100689106	40.3	298	170	5	8	303	7	298	1.81e-70	221
seq124|EC=1.1.1.156	iMM1415.58810	38.4	305	180	5	1	303	1	299	7.44e-70	219
seq124|EC=1.1.1.156	iAT_PLT_636.231	40.4	324	177	9	1	318	1	314	6.41e-69	217
seq124|EC=1.1.1.156	iCHOv1.100757262	41.4	290	157	7	8	291	7	289	1.14e-66	211
seq124|EC=1.1.1.156	iCHOv1.100751272	41.3	286	155	7	8	287	7	285	2.27e-66	210
seq124|EC=1.1.1.156	iSynCJ816.SGL_RS11340	37.5	309	173	7	4	304	11	307	1.24e-65	209
seq124|EC=1.1.1.156	iCHOv1.100689318	37.2	312	185	6	8	315	7	311	1.01e-64	206
seq124|EC=1.1.1.156	iMM1415.11677	40.0	290	161	7	8	291	7	289	2.84e-64	205
seq129|EC=1.1.1.162	iCHOv1.100769825	71.4	241	69	0	4	244	2	242	5.65e-120	341
seq129|EC=1.1.1.162	iAT_PLT_636.51181	72.1	240	65	1	4	243	2	239	8.69e-119	338
seq134|EC=1.1.1.163	iLJ478.TM1724	41.6	245	139	2	3	246	2	243	1.68e-50	165
seq139|EC=1.1.1.166	iAF987.Gmet_1601	39.6	250	145	1	4	253	3	246	4.40e-49	161
seq139|EC=1.1.1.166	iLJ478.TM1724	37.2	250	151	1	4	253	3	246	2.76e-47	157
seq139|EC=1.1.1.166	iYL1228.KPN_01091	36.2	254	145	4	4	253	3	243	9.11e-45	150
seq139|EC=1.1.1.166	iML1515.b1093	36.6	254	144	4	4	253	3	243	1.81e-44	149
seq139|EC=1.1.1.166	iSbBS512_1146.SbBS512_E2231	36.6	254	144	4	4	253	3	243	1.81e-44	149
seq139|EC=1.1.1.166	iSDY_1059.SDY_2057	36.6	254	144	4	4	253	3	243	1.81e-44	149
seq139|EC=1.1.1.166	iSF_1195.SF1097	36.6	254	144	4	4	253	3	243	1.81e-44	149
seq139|EC=1.1.1.166	iSSON_1240.SSON_1113	36.6	254	144	4	4	253	3	243	1.81e-44	149
